,file,y,x,ulx,uly,lrx,lry
1728,133-78.tif,133,78,442527.165307779,470262.5728472429,445027.4052383728,467762.3329178997
1729,133-79.tif,133,79,442527.165307779,472676.8389125624,445027.4052383728,470262.5728472429
1730,133-8.tif,133,8,442526.99079022615,294791.9305199962,445027.4264310728,292762.3885953832
1731,134-13.tif,134,13,445173.70132148685,307763.0100709414,447527.0730148761,305275.67414401664
1732,134-14.tif,134,14,445173.4226639439,310262.59803452314,447526.78259486594,307762.27807267965
1733,134-15.tif,134,15,445173.4226639439,312762.9179963666,447526.78259486594,310262.59803452314
1734,134-16.tif,134,16,445730.2712117449,313203.79808560014,447526.78259486594,312762.9179963666
1735,134-33.tif,134,33,445027.64128795185,357762.05240031687,447526.77557695186,357716.06832938094
1736,134-34.tif,134,34,445027.53263230977,360262.18266477674,447527.66033327975,357762.05496305646
1737,134-35.tif,134,35,445027.4308481799,362762.30669118813,447527.5526890567,360262.1848503113
1738,134-36.tif,134,36,445027.4308481799,365214.4453859785,447527.5526890567,362762.30669118813
1739,134-48.tif,134,48,445027.6621787938,395262.6865930632,447526.7583827938,393703.2505606752
1740,134-49.tif,134,49,445027.5111849642,397762.14796568424,447527.58571417397,395262.0734372248
1741,134-50.tif,134,50,445027.5111849642,400262.2224941436,447527.58571417397,397762.14796568424
1742,134-51.tif,134,51,445027.5111849642,402762.297022603,447527.58571417397,400262.2224941436
1743,134-52.tif,134,52,445027.5111849642,405262.37155106245,447527.58571417397,402762.297022603
1744,134-53.tif,134,53,445027.5111849642,407762.4460795218,447527.58571417397,405262.37155106245
1745,134-54.tif,134,54,445027.5111849642,410262.5206079812,447527.58571417397,407762.4460795218
1746,134-55.tif,134,55,445027.5111849642,412762.5951365669,447527.58571417397,410262.5206081075
1747,134-56.tif,134,56,445027.5111849642,415262.6696650263,447527.58571417397,412762.5951365669
1748,134-57.tif,134,57,445027.5111849642,417762.7441934857,447527.58571417397,415262.6696650263
1749,134-58.tif,134,58,445027.5111849642,420262.8187219451,447527.58571417397,417762.7441934857
1750,134-59.tif,134,59,445027.5111849642,422762.8932504045,447527.58571417397,420262.8187219451
1751,134-60.tif,134,60,445027.5111849642,425262.9677788639,447527.58571417397,422762.8932504045
1752,134-61.tif,134,61,445027.5111849642,427762.0426773639,447527.58571417397,425262.9677788639
1753,134-62.tif,134,62,445027.2057098057,430262.78722698544,447527.3140730435,427762.6788649981
1754,134-63.tif,134,63,445027.2905421396,432762.8992711282,447527.40378933033,430262.7860254381
1755,134-64.tif,134,64,445027.3823273527,435263.0162138834,447527.50084465055,432762.89769833616
1756,134-65.tif,134,65,445027.3823273527,437762.13508188346,447527.50084465055,435263.0162138834
1757,134-66.tif,134,66,445027.586768571,440262.26668872056,447526.717332821,437762.13647424564
1758,134-67.tif,134,67,445027.69943068037,442762.40064361366,447526.8364216804,440262.26399956795
1759,134-68.tif,134,68,445026.8194003408,445262.54104279866,447526.9628613622,442762.3975815272
1760,134-69.tif,134,69,445026.8194003408,447762.6845040701,447526.9628613622,445262.54104279866
1761,134-7.tif,134,7,445027.5763289268,292762.710791499,447360.0605628182,290343.245791063
1762,134-70.tif,134,70,445027.07955639076,450262.8427270882,447527.237810577,447762.68447240174
1763,134-71.tif,134,71,445027.22009415843,452763.00478623406,447527.38632628456,450262.8385543579
1764,134-72.tif,134,72,445027.36760919594,455262.1751687593,447527.5422054164,452763.0002410092
1765,134-73.tif,134,73,445027.36760919594,457762.34976648045,447527.5422054164,455262.17516875936
1766,134-74.tif,134,74,445027.6835836317,460262.54080244346,447526.8763953816,457762.34831106773
1767,134-75.tif,134,75,445026.8523683607,462762.737163854,447527.05438679573,460262.53514516883
1768,134-76.tif,134,76,445027.02781984885,465262.943071015,447527.239755249,462762.7311361149
1769,134-77.tif,134,77,445027.02781984885,467762.1553210149,447527.239755249,465262.943071015
1770,134-78.tif,134,78,445027.3997043501,470262.38538352674,447527.6326371459,467762.15244898025
1771,134-79.tif,134,79,445027.3997043501,472676.64469457424,447527.6326371459,470262.38538352674
1772,134-8.tif,134,8,445027.5763289268,293547.537248252,447360.0605628182,292762.710791499
1773,135-13.tif,135,13,447527.0730148761,307763.0100709414,450027.40547246597,305275.67414401664
1774,135-14.tif,135,14,447526.78259486594,310262.59803452314,450027.1025554589,307762.27807267965
1775,135-15.tif,135,15,447526.78259486594,312762.9179963666,450027.1025554589,310262.59803452314
1776,135-16.tif,135,16,447526.78259486594,313203.79808560014,449504.2447628199,312762.9179963666
1777,135-33.tif,135,33,447526.7722672068,357762.18085436523,449983.91398080037,357716.19691668655
1778,135-34.tif,135,34,447527.65721137385,360262.3036820531,449983.7931377908,357762.18322723045
1779,135-35.tif,135,35,447527.54975775786,362762.4202703947,449983.6799249668,360262.30567991687
1780,135-36.tif,135,36,447527.54975775786,365214.55185393814,449983.6799249668,362762.4202703947
1781,135-48.tif,135,48,447526.7583827938,395262.6865930632,450026.85422527546,393703.2505606752
1782,135-49.tif,135,49,447527.58571417397,397762.14796568424,450027.66024338367,395262.0734372248
1783,135-50.tif,135,50,447527.58571417397,400262.2224941436,450027.66024338367,397762.14796568424
1784,135-51.tif,135,51,447527.58571417397,402762.297022603,450027.66024338367,400262.2224941436
1785,135-52.tif,135,52,447527.58571417397,405262.37155106245,450027.66024338367,402762.297022603
1786,135-53.tif,135,53,447527.58571417397,407762.4460795218,450027.66024338367,405262.37155106245
1787,135-54.tif,135,54,447527.58571417397,410262.5206079812,450027.66024338367,407762.4460795218
1788,135-55.tif,135,55,447527.58571417397,412762.5951365669,450027.66024338367,410262.5206081075
1789,135-56.tif,135,56,447527.58571417397,415262.6696650263,450027.66024338367,412762.5951365669
